time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,utilities
13,17:0,17,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337842401883934,0.4940366936275521,0.18986681625049356,0.1773972015425624,wait:0.000000
13,18:0,18,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36554959741853243,0.415852365145589,0.1636443576163653,0.20159273423979746,wait:0.000000
14,2:0,2,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41197079496082845,0.4683103840868439,0.2631195786566093,0.18530955760014894,wait:0.000000
14,3:0,3,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7012846419844834,0.6128679237523356,0.2658141629574809,0.3421680513814242,wait:0.000000
14,4:0,4,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134939162452191,0.6434168944540841,0.0931582133250654,0.3081183566110844,wait:0.000000
14,5:0,5,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5711328982886554,0.40798145905146355,0.2639240822345544,0.40927658994266675,wait:0.000000
14,7:0,7,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5768540343874118,0.36285187506581434,0.26378219323620805,0.14589476006045327,wait:0.000000
14,8:0,8,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4915794095525231,0.4316094770491315,0.26897823763039225,0.2610303882394388,wait:0.000000
14,12:0,12,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343845548087125,0.5969068951668594,0.2683710134305787,0.21841271796935496,wait:0.000000
14,15:0,15,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7409231943614536,0.47006056998838386,0.24868062735076762,0.22097621163406084,wait:0.000000
14,16:0,16,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782109202493442,0.40961789544902205,0.1341107593650732,0.19086217131100167,wait:0.000000
14,17:0,17,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337842401883934,0.4940366936275521,0.18986681625049356,0.1773972015425624,wait:0.000000
14,18:0,18,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36554959741853243,0.415852365145589,0.1636443576163653,0.20159273423979746,wait:0.000000
