case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,processing_time,observed_wait,dispute_age_observed,block,arm,seed
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,closed_cohort,unchanged,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,closed_cohort,unchanged,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,closed_cohort,unchanged,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,closed_cohort,unchanged,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,unchanged,0
0:0,0,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42396705421675956,False,0.4,3.0,,,17.0,17.0,closed_cohort,unchanged,1
2:0,2,2,0,0,3.0,0.0,5.0,2.0,,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4117401828894335,True,0.5407086517879497,6.0,2.0,,17.0,17.0,closed_cohort,unchanged,1
9:0,9,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3857001352210794,True,0.4,3.0,,3.0,3.0,3.0,closed_cohort,unchanged,1
10:0,10,2,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3091505856063904,True,0.5407086517879497,3.0,,,17.0,17.0,closed_cohort,unchanged,1
15:0,15,2,0,0,0.0,4.0,2.0,6.0,2.0,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3340094820793743,True,0.5407086517879497,3.0,7.0,,17.0,17.0,closed_cohort,unchanged,1
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,3.0,3.0,3.0,closed_cohort,no_notice,0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,no_notice,0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,closed_cohort,no_notice,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,closed_cohort,no_notice,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,closed_cohort,no_notice,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,closed_cohort,no_notice,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,no_notice,0
0:0,0,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42396705421675956,False,0.4,3.0,,,17.0,17.0,closed_cohort,no_notice,1
2:0,2,2,0,0,3.0,0.0,5.0,2.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.4117401828894335,True,0.5407086517879497,6.0,2.0,6.0,6.0,6.0,closed_cohort,no_notice,1
9:0,9,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3857001352210794,True,0.4,3.0,,3.0,3.0,3.0,closed_cohort,no_notice,1
10:0,10,2,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3091505856063904,True,0.5407086517879497,3.0,,,17.0,17.0,closed_cohort,no_notice,1
15:0,15,2,0,0,0.0,4.0,2.0,6.0,2.0,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3340094820793743,True,0.5407086517879497,3.0,7.0,,17.0,17.0,closed_cohort,no_notice,1
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,3.0,3.0,3.0,closed_cohort,immediate,0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,immediate,0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,closed_cohort,immediate,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,closed_cohort,immediate,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,closed_cohort,immediate,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,closed_cohort,immediate,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,immediate,0
0:0,0,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42396705421675956,False,0.4,3.0,,,17.0,17.0,closed_cohort,immediate,1
2:0,2,2,0,0,3.0,0.0,5.0,2.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.4117401828894335,True,0.5407086517879497,6.0,2.0,6.0,6.0,6.0,closed_cohort,immediate,1
9:0,9,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3857001352210794,True,0.4,3.0,,3.0,3.0,3.0,closed_cohort,immediate,1
10:0,10,2,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3091505856063904,True,0.5407086517879497,3.0,,,17.0,17.0,closed_cohort,immediate,1
15:0,15,2,0,0,0.0,4.0,2.0,6.0,2.0,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3340094820793743,True,0.5407086517879497,3.0,7.0,,17.0,17.0,closed_cohort,immediate,1
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,3.0,3.0,3.0,closed_cohort,network_notice,0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,network_notice,0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,closed_cohort,network_notice,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,closed_cohort,network_notice,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,closed_cohort,network_notice,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,closed_cohort,network_notice,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,closed_cohort,network_notice,0
0:0,0,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42396705421675956,False,0.4,3.0,,,17.0,17.0,closed_cohort,network_notice,1
2:0,2,2,0,0,3.0,0.0,5.0,2.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.4117401828894335,True,0.5407086517879497,6.0,2.0,6.0,6.0,6.0,closed_cohort,network_notice,1
9:0,9,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3857001352210794,True,0.4,3.0,,3.0,3.0,3.0,closed_cohort,network_notice,1
10:0,10,2,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3091505856063904,True,0.5407086517879497,3.0,,,17.0,17.0,closed_cohort,network_notice,1
15:0,15,2,0,0,0.0,4.0,2.0,6.0,2.0,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3340094820793743,True,0.5407086517879497,3.0,7.0,,17.0,17.0,closed_cohort,network_notice,1
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,3.0,3.0,3.0,network_ws,unchanged,0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,network_ws,unchanged,0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,network_ws,unchanged,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,network_ws,unchanged,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,network_ws,unchanged,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,network_ws,unchanged,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,network_ws,unchanged,0
1:2,1,1,2,2,2.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.24074774781101047,True,0.41144794057497336,5.0,9.0,7.0,7.0,7.0,network_ws,unchanged,0
19:3,19,2,3,3,3.0,7.0,5.0,9.0,5.0,9.0,6.0,10.0,closed_unresolved,successful,10.0,e,1.0,d,resolved,0.9814794797950086,True,0.6,6.0,10.0,7.0,7.0,7.0,network_ws,unchanged,0
18:4,18,0,4,4,4.0,4.0,6.0,6.0,,6.0,7.0,7.0,closed_unresolved,successful,7.0,e,1.0,d+e,resolved,0.6740976743403817,True,0.4885520594250266,7.0,7.0,3.0,3.0,3.0,network_ws,unchanged,0
4:6,4,0,6,6,6.0,6.0,8.0,8.0,8.0,,9.0,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.3990985278901817,True,0.4885520594250266,9.0,8.0,,11.0,11.0,network_ws,unchanged,0
2:7,2,2,7,7,,7.0,,9.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.8773272286998643,True,0.6,,9.0,,10.0,10.0,network_ws,unchanged,0
20:9,20,0,9,9,12.0,9.0,14.0,11.0,,11.0,15.0,12.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9910030799414205,True,0.4885520594250266,15.0,12.0,,8.0,8.0,network_ws,unchanged,0
10:10,10,1,10,10,10.0,,12.0,,,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.6297372338144666,True,0.41144794057497336,13.0,,3.0,3.0,3.0,network_ws,unchanged,0
6:11,6,0,11,11,11.0,15.0,13.0,17.0,13.0,17.0,14.0,18.0,closed_unresolved,forwarded,,,0.0,d,pending,0.6421412513809208,True,0.4885520594250266,14.0,,,6.0,6.0,network_ws,unchanged,0
19:11,19,2,11,11,11.0,,13.0,,13.0,,14.0,,successful,unused,14.0,d,1.0,d,resolved,0.9814794797950086,True,0.6,14.0,,3.0,3.0,3.0,network_ws,unchanged,0
12:13,12,0,13,13,16.0,13.0,,15.0,,,,,submitted,closed_unresolved,,,0.0,e,pending,0.6772606288104934,True,0.4885520594250266,,15.0,,4.0,4.0,network_ws,unchanged,0
8:15,8,1,15,15,,15.0,,17.0,,17.0,,18.0,unused,forwarded,,,0.0,e,pending,0.6186634072313681,True,0.41144794057497336,,,,2.0,2.0,network_ws,unchanged,0
10:17,10,1,17,17,17.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.6297372338144666,True,0.41144794057497336,,,,0.0,0.0,network_ws,unchanged,0
0:0,0,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42396705421675956,False,0.4,3.0,,,17.0,17.0,network_ws,unchanged,1
2:0,2,2,0,0,3.0,0.0,5.0,2.0,,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4117401828894335,True,0.5407086517879497,6.0,2.0,,17.0,17.0,network_ws,unchanged,1
9:0,9,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3857001352210794,True,0.4,3.0,,3.0,3.0,3.0,network_ws,unchanged,1
10:0,10,2,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3091505856063904,True,0.5407086517879497,3.0,,,17.0,17.0,network_ws,unchanged,1
15:0,15,2,0,0,0.0,4.0,2.0,6.0,2.0,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3340094820793743,True,0.5407086517879497,3.0,7.0,,17.0,17.0,network_ws,unchanged,1
6:2,6,2,2,2,2.0,,4.0,,4.0,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.4681544133761011,False,0.5407086517879497,5.0,,3.0,3.0,3.0,network_ws,unchanged,1
7:2,7,0,2,2,2.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.33960096772294057,False,0.5592913482120503,5.0,,3.0,3.0,3.0,network_ws,unchanged,1
8:2,8,0,2,2,2.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.443388335355912,False,0.5592913482120503,5.0,,3.0,3.0,3.0,network_ws,unchanged,1
6:6,6,2,6,6,6.0,,8.0,,,,9.0,,successful,unused,9.0,d,1.0,d,resolved,0.4681544133761011,False,0.5407086517879497,9.0,,3.0,3.0,3.0,network_ws,unchanged,1
13:8,13,1,8,8,8.0,,10.0,,,,11.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5928251123769936,False,0.4,11.0,,,9.0,9.0,network_ws,unchanged,1
4:12,4,0,12,12,12.0,,14.0,,14.0,,15.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.37574034399136436,False,0.5592913482120503,15.0,,,5.0,5.0,network_ws,unchanged,1
3:14,3,2,14,14,14.0,,16.0,,,,17.0,,successful,unused,17.0,d,1.0,d,resolved,0.2611188621225507,False,0.5407086517879497,17.0,,3.0,3.0,3.0,network_ws,unchanged,1
7:15,7,0,15,15,15.0,,17.0,,,,18.0,,forwarded,unused,,,0.0,d,pending,0.33960096772294057,False,0.5592913482120503,,,,2.0,2.0,network_ws,unchanged,1
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,3.0,3.0,3.0,network_ws,no_notice,0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,network_ws,no_notice,0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,network_ws,no_notice,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,network_ws,no_notice,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,network_ws,no_notice,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,network_ws,no_notice,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,network_ws,no_notice,0
1:2,1,1,2,2,2.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.24074774781101047,True,0.41144794057497336,5.0,9.0,7.0,7.0,7.0,network_ws,no_notice,0
19:3,19,2,3,3,3.0,,5.0,,5.0,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.9814794797950086,True,0.6,6.0,,3.0,3.0,3.0,network_ws,no_notice,0
18:4,18,0,4,4,4.0,4.0,6.0,6.0,,6.0,7.0,7.0,closed_unresolved,successful,7.0,e,1.0,d+e,resolved,0.6740976743403817,True,0.4885520594250266,7.0,7.0,3.0,3.0,3.0,network_ws,no_notice,0
4:6,4,0,6,6,6.0,6.0,8.0,8.0,8.0,,9.0,,successful,closed_unresolved,9.0,d,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,9.0,8.0,3.0,3.0,3.0,network_ws,no_notice,0
2:7,2,2,7,7,10.0,7.0,12.0,9.0,12.0,,13.0,,successful,closed_unresolved,13.0,d,1.0,e,resolved,0.8773272286998643,True,0.6,13.0,9.0,6.0,6.0,6.0,network_ws,no_notice,0
20:9,20,0,9,9,9.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,successful,closed_unresolved,12.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,12.0,12.0,3.0,3.0,3.0,network_ws,no_notice,0
10:10,10,1,10,10,10.0,,12.0,,,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.6297372338144666,True,0.41144794057497336,13.0,,3.0,3.0,3.0,network_ws,no_notice,0
6:11,6,0,11,11,11.0,15.0,13.0,17.0,13.0,17.0,14.0,18.0,closed_unresolved,forwarded,,,0.0,d,pending,0.6421412513809208,True,0.4885520594250266,14.0,,,6.0,6.0,network_ws,no_notice,0
19:11,19,2,11,11,11.0,,13.0,,13.0,,14.0,,successful,unused,14.0,d,1.0,d,resolved,0.9814794797950086,True,0.6,14.0,,3.0,3.0,3.0,network_ws,no_notice,0
12:13,12,0,13,13,16.0,13.0,,15.0,,,,,submitted,closed_unresolved,,,0.0,e,pending,0.6772606288104934,True,0.4885520594250266,,15.0,,4.0,4.0,network_ws,no_notice,0
8:15,8,1,15,15,,15.0,,17.0,,17.0,,18.0,unused,forwarded,,,0.0,e,pending,0.6186634072313681,True,0.41144794057497336,,,,2.0,2.0,network_ws,no_notice,0
10:17,10,1,17,17,17.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.6297372338144666,True,0.41144794057497336,,,,0.0,0.0,network_ws,no_notice,0
0:0,0,1,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.42396705421675956,False,0.4,3.0,,,17.0,17.0,network_ws,no_notice,1
2:0,2,2,0,0,3.0,0.0,5.0,2.0,,,6.0,,successful,closed_unresolved,6.0,d,1.0,e,resolved,0.4117401828894335,True,0.5407086517879497,6.0,2.0,6.0,6.0,6.0,network_ws,no_notice,1
9:0,9,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3857001352210794,True,0.4,3.0,,3.0,3.0,3.0,network_ws,no_notice,1
10:0,10,2,0,0,0.0,,2.0,,,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3091505856063904,True,0.5407086517879497,3.0,,,17.0,17.0,network_ws,no_notice,1
15:0,15,2,0,0,0.0,4.0,2.0,6.0,2.0,6.0,3.0,7.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3340094820793743,True,0.5407086517879497,3.0,7.0,,17.0,17.0,network_ws,no_notice,1
6:2,6,2,2,2,2.0,,4.0,,4.0,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.4681544133761011,False,0.5407086517879497,5.0,,3.0,3.0,3.0,network_ws,no_notice,1
7:2,7,0,2,2,2.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.33960096772294057,False,0.5592913482120503,5.0,,3.0,3.0,3.0,network_ws,no_notice,1
8:2,8,0,2,2,2.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.443388335355912,False,0.5592913482120503,5.0,,3.0,3.0,3.0,network_ws,no_notice,1
6:6,6,2,6,6,6.0,,8.0,,,,9.0,,successful,unused,9.0,d,1.0,d,resolved,0.4681544133761011,False,0.5407086517879497,9.0,,3.0,3.0,3.0,network_ws,no_notice,1
13:8,13,1,8,8,8.0,,10.0,,,,11.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5928251123769936,False,0.4,11.0,,,9.0,9.0,network_ws,no_notice,1
2:9,2,2,9,9,13.0,9.0,15.0,11.0,15.0,11.0,16.0,12.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4117401828894335,True,0.5407086517879497,16.0,12.0,,8.0,8.0,network_ws,no_notice,1
4:12,4,0,12,12,12.0,,14.0,,14.0,,15.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.37574034399136436,False,0.5592913482120503,15.0,,,5.0,5.0,network_ws,no_notice,1
3:14,3,2,14,14,14.0,,16.0,,,,17.0,,successful,unused,17.0,d,1.0,d,resolved,0.2611188621225507,False,0.5407086517879497,17.0,,3.0,3.0,3.0,network_ws,no_notice,1
7:15,7,0,15,15,15.0,,17.0,,,,18.0,,forwarded,unused,,,0.0,d,pending,0.33960096772294057,False,0.5592913482120503,,,,2.0,2.0,network_ws,no_notice,1
2:0,2,2,0,0,,0.0,,2.0,,2.0,,3.0,unused,successful,3.0,e,1.0,e,resolved,0.8773272286998643,True,0.6,,3.0,3.0,3.0,3.0,network_ws,immediate,0
4:0,4,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,successful,3.0,d+e,1.0,d+e,resolved,0.3990985278901817,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,network_ws,immediate,0
5:0,5,2,0,0,0.0,,2.0,,2.0,,3.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5606217804303324,False,0.6,3.0,,,17.0,17.0,network_ws,immediate,0
7:0,7,1,0,0,3.0,0.0,5.0,2.0,5.0,,6.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.27739591041921746,True,0.41144794057497336,6.0,2.0,,17.0,17.0,network_ws,immediate,0
15:0,15,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.3069934567044812,True,0.4885520594250266,3.0,,3.0,3.0,3.0,network_ws,immediate,0
17:0,17,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.5530645440977425,True,0.41144794057497336,3.0,3.0,3.0,3.0,3.0,network_ws,immediate,0
20:0,20,0,0,0,0.0,0.0,2.0,2.0,,2.0,3.0,3.0,successful,closed_unresolved,3.0,d,1.0,d+e,resolved,0.9910030799414205,True,0.4885520594250266,3.0,3.0,3.0,3.0,3.0,network_ws,immediate,0
1:2,1,1,2,2,2.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.24074774781101047,True,0.41144794057497336,5.0,9.0,7.0,7.0,7.0,network_ws,immediate,0
19:3,19,2,3,3,3.0,,5.0,,5.0,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.9814794797950086,True,0.6,6.0,,3.0,3.0,3.0,network_ws,immediate,0
18:4,18,0,4,4,4.0,8.0,6.0,10.0,,10.0,7.0,11.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6740976743403817,True,0.4885520594250266,7.0,11.0,,13.0,13.0,network_ws,immediate,0
4:6,4,0,6,6,6.0,,8.0,,8.0,,9.0,,successful,unused,9.0,d,1.0,d,resolved,0.3990985278901817,True,0.4885520594250266,9.0,,3.0,3.0,3.0,network_ws,immediate,0
2:7,2,2,7,7,7.0,7.0,9.0,9.0,9.0,,10.0,,successful,closed_unresolved,10.0,d,1.0,d+e,resolved,0.8773272286998643,True,0.6,10.0,9.0,3.0,3.0,3.0,network_ws,immediate,0
20:9,20,0,9,9,9.0,,11.0,,11.0,,12.0,,successful,unused,12.0,d,1.0,d,resolved,0.9910030799414205,True,0.4885520594250266,12.0,,3.0,3.0,3.0,network_ws,immediate,0
10:10,10,1,10,10,10.0,,12.0,,,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.6297372338144666,True,0.41144794057497336,13.0,,3.0,3.0,3.0,network_ws,immediate,0
6:11,6,0,11,11,11.0,15.0,13.0,17.0,13.0,17.0,14.0,18.0,closed_unresolved,forwarded,,,0.0,d,pending,0.6421412513809208,True,0.4885520594250266,14.0,,,6.0,6.0,network_ws,immediate,0
19:11,19,2,11,11,11.0,,13.0,,13.0,,14.0,,successful,unused,14.0,d,1.0,d,resolved,0.9814794797950086,True,0.6,14.0,,3.0,3.0,3.0,network_ws,immediate,0
